date,location,description,guests,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"JUN 15","Doolittle Community Center, Las Vegas, NV"," Las Vegas Organizing Rally with Kamala Harris ",273," NV",36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 13","1919 Hampton St, Columbia, SC"," Columbia Kamala Harris for SC Office Opening ",267," SC",34.008976,-81.023874,1,range_interpolation,1919,"Hampton St",Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 10","2811 Jackson St, Dubuque, IA"," Dubuque Meet and Greet with Kamala Harris ",484," IA",42.523379,-90.677577,1,rooftop,2811,"Jackson St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"JUN 9","209 Jackson St, Waterloo, IA"," Waterloo Town Hall with Kamala Harris ",255," IA",42.505334,-92.326624,1,range_interpolation,209,"Jackson St",Waterloo,IA,"Black Hawk County",50703,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 29","404 Vardry St, Greenville, SC"," Greenville Education Town Hall with Kamala Harris ",642," SC",34.841817,-82.40974,1,rooftop,404,"Vardry St",Greenville,SC,"Greenville County",29601,US,Greenville
"MAY 29","1100 W Franklin St, Anderson, SC"," Anderson Meet-and-Greet with Kamala Harris ",222," SC",34.49672,-82.665211,1,rooftop,1100,"W Franklin St",Anderson,SC,"Anderson County",29624,US,Anderson
"MAY 19","Los Angeles Southwest College, California City, CA"," Los Angeles Organizing Event w/ Kamala Harris ",2421," CA",35.491906,-119.261153,1,street_center,,"Los Angeles St",Shafter,CA,"Kern County",93263,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 15","27 Burke St, Nashua, NH"," Nashua Town Hall with Kamala Harris ",518," NH",42.750701,-71.452336,1,rooftop,27,"Burke St",Nashua,NH,"Hillsborough County",03060,US,"City of Nashua"
"APR 23","4 E Wheelock St, Hanover, NH"," Dartmouth College Town Hall with Kamala Harris ",764," NH",43.702499,-72.28743,1,range_interpolation,4,"E Wheelock St",Hanover,NH,"Grafton County",03755,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 23","229 Main Street, Keene, NH"," Keene State College Town Hall with Kamala Harris ",229," NH",42.927649,-72.277596,1,range_interpolation,229,"Main St",Keene,NH,"Cheshire County",03431,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 20","200 Buckley St, Orangeburg, SC"," South Carolina State Education Town Hall w/ Bakari Sellers ",150," SC",33.500529,-80.846805,1,range_interpolation,200,"Buckley St",Orangeburg,SC,"Orangeburg County",29115,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 19","695 Scholars Walk, Rock Hill, SC"," Winthrop University Town Hall with Kamala Harris ",403," SC",34.909109,-81.052437,0.33,place,,,"Rock Hill",SC,"York County",29730,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 10","125 N. Madison St., Iowa City, IA"," Iowa City Town Hall with Kamala Harris ",769," IA",41.663055,-91.538382,1,rooftop,125,"N Madison St","Iowa City",IA,"Johnson County",52242,US,Johnson
"MAR 24","830 Westview Dr SW, Atlanta, GA"," Atlanta Campaign Rally with Kamala Harris ",4095," GA",33.748056,-84.415837,1,rooftop,830,"Westview Dr SW",Atlanta,GA,"Fulton County",30314,US,"City of Atlanta"
"MAR 23","3100 Cleburne St, Houston, TX"," Houston Campaign Rally with Kamala Harris ",2473," TX",29.72292,-95.365569,1,rooftop,3100,"Cleburne St",Houston,TX,"Harris County",77004,US,"City of Houston"
"MAR 1","350 E Alexander Rd, North Las Vegas, NV"," Las Vegas Town Hall with Senator Kamala Harris ",1221," NV",36.234096,-115.137259,1,rooftop,350,"E Alexander Rd","North Las Vegas",NV,"Clark County",89031,US,"Las Vegas"
"FEB 24","2021 State St, Bettendorf, IA"," Scott County Town Hall with Senator Kamala Harris ",710," IA",41.525189,-90.504456,1,range_interpolation,2021,"State St",Bettendorf,IA,"Scott County",52722,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 23","1055 SW Prairie Trail Pkwy, Ankeny, IA"," Ankeny Town Hall with Senator Kamala Harris ",1580," IA",41.711487,-93.612749,1,rooftop,1055,"SW Prairie Trail Pkwy",Ankeny,IA,"Polk County",50023,US,Polk
"FEB 18","292 State St, Portsmouth, NH"," Portsmouth Town Hall with Senator Kamala Harris ",3273," NH",43.07546,-70.757583,1,rooftop,292,"State St",Portsmouth,NH,"Rockingham County",03801,US,Statewide
"FEB 16","1066 Sunset Blvd., West Columbia, SC"," Columbia Town Hall with Senator Kamala Harris ",1257," SC",33.998036,-81.073468,1,rooftop,1066,"Sunset Blvd","West Columbia",SC,"Lexington County",29169,US,Lexington
"FEB 15","4750 Abraham Ave, North Charleston, SC"," Charleston Town Hall with Senator Kamala Harris ",884," SC",32.879721,-79.997943,1,range_interpolation,4750,"Abraham Ave","North Charleston",SC,"Charleston County",29405,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 28","2875 University Ave, Des Moines, IA"," CNN Town Hall with Kamala Harris Watch Party ",1440," IA",41.600919,-93.656837,1,rooftop,2875,"University Ave","Des Moines",IA,"Polk County",50311,US,Polk
